country,elite,sw_f,englang,FLAG_incomplete,z_cs,female,mushyC,mushyR,univcode
USA,0,1,01,0,-0.450674653,0,,,205
USA,0,1,02,0,-0.164736375,0,,,211
USA,1,1,02,0,0.836047649,0,,,68
USA,0,1,01,0,1.264955044,0,,,166
USA,0,1,03,0,-0.021767221,1,,,123
USA,0,1,01,0,0.121201925,0,,,87
USA,0,1,01,0,0.693078518,0,,,14
USA,0,1,01,0,-0.021767221,1,,,134
USA,0,1,03,0,-0.736612976,1,,,176
USA,0,1,01,0,1.836831689,0,,,131
USA,0,1,01,0,-1.16552043,1,,,153
USA,0,1,01,0,3.552461386,1,,,97
USA,0,1,01,0,-0.307705522,0,,,56
USA,0,1,01,0,-0.307705522,0,,,153
USA,0,1,01,0,0.693078518,0,,,202
USA,0,1,01,0,-0.021767221,0,,,120
USA,0,1,01,0,0.836047649,0,,,145
USA,0,1,01,0,0.979016781,0,,,111
USA,0,1,01,0,1.121985912,0,,,152
USA,0,1,01,0,0.836047649,,,,200
USA,0,1,01,0,-0.307705522,0,,,212
USA,0,1,03,0,0.550109386,0,,,57
USA,0,1,01,0,0.550109386,0,,,152
USA,0,1,01,0,-1.308489561,1,,,143
USA,0,1,01,0,-0.450674653,0,,,131
USA,0,1,02,0,-0.021767221,0,,,200
USA,0,1,01,0,-0.450674653,0,,,193
USA,0,1,01,0,-0.879582107,0,,,136
USA,0,1,01,0,0.693078518,0,,,20
USA,0,1,01,0,0.979016781,0,,,79
USA,0,1,01,0,-0.879582107,0,,,211
USA,0,1,01,0,0.407140225,0,,,167
USA,0,1,01,0,0.550109386,0,,,99
USA,0,1,01,0,-1.16552043,0,,,151
USA,0,1,01,0,-0.593643785,0,,,224
USA,0,1,01,0,-1.16552043,0,,,151
USA,0,1,01,0,-0.307705522,0,,,194
USA,0,1,01,0,0.121201925,0,,,19
USA,0,1,01,0,-0.736612976,0,,,6
USA,0,1,01,0,-0.021767221,1,,,119
USA,0,1,01,0,0.979016781,0,,,105
USA,0,1,01,0,-1.308489561,0,,,188
USA,0,1,01,0,0.407140225,0,,,149
USA,0,1,01,0,0.693078518,0,,,101
USA,0,1,01,0,0.407140225,0,,,145
USA,0,1,01,0,1.97980082,0,,,149
USA,0,1,00,0,7.269659042,0,,,149
USA,0,1,01,0,0.264171064,0,,,149
USA,0,1,01,0,-0.164736375,0,,,60
USA,0,1,01,0,-0.879582107,0,,,142
USA,0,1,03,0,-1.022551298,0,,,215
USA,0,1,01,0,0.693078518,,,,90
USA,0,1,01,0,0.121201925,0,,,149
USA,0,1,01,0,-0.593643785,0,,,204
USA,0,1,01,0,0.407140225,0,,,99
USA,0,1,01,0,1.121985912,,,,149
USA,0,1,01,0,0.407140225,0,,,225
USA,0,1,01,0,-0.736612976,0,,,56
USA,0,1,01,0,-0.593643785,0,,,148
USA,0,1,03,0,-0.307705522,0,,,148
